Symbol,Date,Price,Analysts,StrongBuy,Buy,Hold,Sell,Lowcast,Forecast,Highcast,Actual
FSFG,02/01/2019,50.13000106811523,1,0,1,0,0,0.47,0.47,0.47,0.0971
FSFG,03/01/2019,52.59000015258789,1,0,1,0,0,0.43,0.43,0.43,0.1076
FSFG,05/01/2019,58.25,1,0,1,0,0,0.33,0.33,0.33,0.0383
FSFG,08/01/2019,60.61999893188477,1,0,1,0,0,0.24,0.24,0.24,0.044
FSFG,04/01/2020,40.0,1,0,1,0,0,0.96,0.96,0.96,0.0462
FSFG,05/01/2020,43.5,1,0,1,0,0,0.75,0.75,0.75,-0.0092
FRME,02/01/2019,36.63000106811523,2,0,1,1,0,0.23,0.23,0.23,0.0137
FRME,03/01/2019,40.599998474121094,2,0,1,1,0,0.17,0.17,0.17,-0.0966
FRME,05/01/2019,36.68000030517578,3,0,3,0,0,0.12,0.18,0.18,0.0453
FRME,08/01/2019,39.349998474121094,5,0,4,1,0,0.04,0.15,0.17,-0.0389
FRME,05/01/2020,28.01000022888184,4,0,3,1,0,0.12,0.37,0.16,-0.0168
FRTA,08/01/2018,9.010000228881836,8,0,2,5,1,-0.2,0.05,0.3,-0.1654
FRTA,02/01/2019,5.150000095367432,5,0,1,4,0,-0.02,0.58,1.54,-0.1786
FRTA,03/01/2019,5.269999980926514,5,0,1,4,0,-0.02,0.58,-0.02,-0.1157
FRTA,05/01/2019,4.6599998474121085,4,0,1,3,0,0.09,0.41,0.09,0.0665
FRTA,08/01/2019,6.5,4,0,1,3,0,-0.08,0.13,-0.08,0.1138
FRTA,04/01/2020,5.809999942779541,5,0,1,4,0,0.28,0.79,1.92,0.5215
FRTA,05/01/2020,7.820000171661378,5,0,1,4,0,-0.08,0.29,0.59,0.5179
FSLR,08/01/2018,53.1500015258789,15,0,9,3,3,-0.21,0.32,0.69,-0.0877
FSLR,02/01/2019,50.77999877929688,16,0,11,3,2,0.14,0.31,0.51,0.0494
FSLR,03/01/2019,53.08000183105469,15,0,10,3,2,0.07,0.22,0.42,0.1697
FSLR,05/01/2019,62.09000015258789,13,0,9,2,2,-0.01,0.05,0.24,0.0678
FSLR,08/01/2019,65.51999664306639,9,0,7,2,0,0.02,0.06,0.16,-0.1087
FSLR,04/01/2020,34.75,13,0,9,3,1,0.02,0.75,1.09,0.3381
FSLR,05/01/2020,42.5,13,0,8,4,1,-0.12,0.46,0.81,0.1595
FSZ,02/01/2019,46.97000122070313,1,0,0,1,0,-0.71,-0.71,-0.71,0.0428
FSZ,03/01/2019,47.91999816894531,1,0,0,1,0,-0.71,-0.71,-0.71,0.0467
FSZ,05/01/2019,50.15999984741211,1,0,0,1,0,-0.73,-0.73,-0.73,0.0169
FSZ,08/01/2019,48.88999938964844,1,0,0,1,0,-0.72,-0.72,-0.72,-0.0041
FORM,08/01/2018,12.850000381469727,4,0,3,1,0,0.03,0.33,0.38,0.0739
FORM,02/01/2019,15.029999732971193,5,0,3,2,0,0.04,0.11,0.04,0.0878
FORM,03/01/2019,16.040000915527347,6,0,3,3,0,0.01,0.08,0.08,0.1976
FORM,05/01/2019,19.209999084472656,5,0,2,3,0,-0.04,-0.04,0.18,-0.1593
FORM,08/01/2019,18.489999771118164,6,0,3,3,0,0.08,0.12,0.26,0.0341
FORM,04/01/2020,19.32999992370605,7,0,5,2,0,0.27,0.28,0.42,0.3616
FORM,05/01/2020,22.559999465942386,8,0,4,4,0,-0.1,0.02,0.2,0.2961
FTEK,02/01/2019,1.25,1,0,1,0,0,0.63,0.63,0.63,0.352
FTEK,03/01/2019,1.2899999618530271,1,0,1,0,0,0.54,0.54,0.54,1.031
FTEK,05/01/2019,2.619999885559082,1,0,1,0,0,-0.18,-0.18,-0.18,-0.4656
FTEK,08/01/2019,1.0800000429153442,1,0,1,0,0,0.82,0.82,0.82,-0.0556
FTEK,04/01/2020,0.41999998688697815,1,0,1,0,0,3.17,3.17,3.17,0.6905
FTEK,05/01/2020,0.4900000095367432,1,0,1,0,0,1.69,1.69,1.69,0.6531
FSV,08/01/2018,82.54000091552734,2,0,0,2,0,-0.01,0.02,0.05,0.0322
FSV,02/01/2019,81.27999877929688,3,0,0,3,0,-0.02,0.0,-0.02,0.0994
FSV,03/01/2019,87.1500015258789,3,0,0,3,0,-0.03,-0.0,0.06,0.0114
FSV,05/01/2019,88.14199829101562,3,0,0,3,0,-0.02,-0.0,0.06,0.0999
FSV,08/01/2019,104.55999755859376,3,0,0,3,0,0.02,0.04,0.07,-0.0195
FSV,04/01/2020,74.79000091552734,4,0,1,3,0,0.39,0.41,0.48,0.2419
FSV,05/01/2020,84.30000305175781,5,0,2,3,0,0.04,0.15,0.21,0.2016
FSTR,05/01/2019,21.6200008392334,1,0,1,0,0,0.34,0.34,0.34,0.2673
FSTR,08/01/2019,24.229999542236328,1,0,1,0,0,0.23,0.23,0.23,-0.1019
FSTR,04/01/2020,12.199999809265135,1,0,1,0,0,1.44,1.44,1.44,0.0164
FSTR,05/01/2020,13.93000030517578,1,0,1,0,0,1.36,1.36,1.36,-0.0905
FULT,02/01/2019,16.100000381469727,5,0,1,4,0,0.06,0.15,0.28,-0.0286
