['LAZR', array([0.19930951], dtype=float32)]
['DOOO', array([0.19914892], dtype=float32)]
['EHTH', array([0.19912279], dtype=float32)]
['GS', array([0.19899419], dtype=float32)]
['TCRR', array([0.19888556], dtype=float32)]
['COMP', array([0.19876145], dtype=float32)]
['CLR', array([0.19828863], dtype=float32)]
['CSIQ', array([0.19804345], dtype=float32)]
['TWTR', array([0.19797334], dtype=float32)]
['ALK', array([0.19791308], dtype=float32)]
['REAL', array([0.19761467], dtype=float32)]
['TELL', array([0.19729914], dtype=float32)]
['TRUE', array([0.19718829], dtype=float32)]
['EVRI', array([0.19653738], dtype=float32)]
['KSS', array([0.19627382], dtype=float32)]
['MKSI', array([0.19552355], dtype=float32)]
['QTWO', array([0.19524609], dtype=float32)]
['TVTX', array([0.19524132], dtype=float32)]
['CRSR', array([0.19510902], dtype=float32)]
['PDSB', array([0.19488221], dtype=float32)]
['CSGP', array([0.19428979], dtype=float32)]
['VRTX', array([0.1941667], dtype=float32)]
['CPNG', array([0.1940572], dtype=float32)]
['MCRB', array([0.19403918], dtype=float32)]
['IMGN', array([0.19403899], dtype=float32)]
['POSH', array([0.19396843], dtype=float32)]
['LPX', array([0.19381315], dtype=float32)]
['ONEM', array([0.1935389], dtype=float32)]
['AU', array([0.19347005], dtype=float32)]
['AKRO', array([0.19337267], dtype=float32)]
['FATE', array([0.19329102], dtype=float32)]
['AEO', array([0.19323622], dtype=float32)]
['RXT', array([0.19322091], dtype=float32)]
['MLCO', array([0.19304441], dtype=float32)]
['MTDR', array([0.19303675], dtype=float32)]
['CDEV', array([0.19260171], dtype=float32)]
['BTAI', array([0.19259427], dtype=float32)]
['TDUP', array([0.19249232], dtype=float32)]
['SWKS', array([0.1922897], dtype=float32)]
['ONTF', array([0.19227529], dtype=float32)]
['BHC', array([0.19163372], dtype=float32)]
['AGTI', array([0.1914383], dtype=float32)]
['TDC', array([0.19040166], dtype=float32)]
['TLMD', array([0.19017188], dtype=float32)]
['WISH', array([0.19000341], dtype=float32)]
['ULTA', array([0.1896312], dtype=float32)]
['MRTX', array([0.18961719], dtype=float32)]
['KLDO', array([0.18949647], dtype=float32)]
['DHT', array([0.1893087], dtype=float32)]
['FNV', array([0.18870336], dtype=float32)]
['KURA', array([0.18855056], dtype=float32)]
['RIO', array([0.18809725], dtype=float32)]
['HUBS', array([0.1878771], dtype=float32)]
['CVE', array([0.18726723], dtype=float32)]
['FL', array([0.18707968], dtype=float32)]
['MDGL', array([0.18620622], dtype=float32)]
['CYH', array([0.1859567], dtype=float32)]
['LPLA', array([0.18564422], dtype=float32)]
['WDC', array([0.185344], dtype=float32)]
['MGM', array([0.18515815], dtype=float32)]
['EOLS', array([0.18409027], dtype=float32)]
['ZG', array([0.1838494], dtype=float32)]
['RRR', array([0.18378694], dtype=float32)]
['WPM', array([0.18371017], dtype=float32)]
['LLY', array([0.18333276], dtype=float32)]
['XPEV', array([0.18292224], dtype=float32)]
['DDOG', array([0.18271053], dtype=float32)]
['PD', array([0.18257499], dtype=float32)]
['NEO', array([0.18219607], dtype=float32)]
['CHWY', array([0.18182813], dtype=float32)]
['BHG', array([0.18169789], dtype=float32)]
['TRVG', array([0.18111402], dtype=float32)]
['MEOH', array([0.181031], dtype=float32)]
['DSX', array([0.18068011], dtype=float32)]
['ICPT', array([0.18020795], dtype=float32)]
['LFST', array([0.17995097], dtype=float32)]
['OXY', array([0.17958306], dtype=float32)]
['HIMS', array([0.17957775], dtype=float32)]
['MUR', array([0.17927928], dtype=float32)]
['DEN', array([0.17922884], dtype=float32)]
['NET', array([0.17913333], dtype=float32)]
['DKS', array([0.17908263], dtype=float32)]
['ZYNE', array([0.1789868], dtype=float32)]
['ARQT', array([0.17898123], dtype=float32)]
['ALT', array([0.17895198], dtype=float32)]
['CPRI', array([0.17874615], dtype=float32)]
['ALGN', array([0.17821977], dtype=float32)]
['AFRM', array([0.17808737], dtype=float32)]
['CG', array([0.17796311], dtype=float32)]
['TRGP', array([0.17789479], dtype=float32)]
['KL', array([0.17787641], dtype=float32)]
['RARE', array([0.1775289], dtype=float32)]
['RAMP', array([0.17741989], dtype=float32)]
['AGI', array([0.1770436], dtype=float32)]
['CD', array([0.17629899], dtype=float32)]
['CX', array([0.17606542], dtype=float32)]
['SNOW', array([0.17593169], dtype=float32)]
['ITRI', array([0.17589313], dtype=float32)]
['NGM', array([0.17528398], dtype=float32)]
['CRSP', array([0.17462893], dtype=float32)]
['HYFM', array([0.17440654], dtype=float32)]
['SAND', array([0.17426531], dtype=float32)]
['AMRN', array([0.17381223], dtype=float32)]
['BKR', array([0.17343323], dtype=float32)]
['NUVB', array([0.17340685], dtype=float32)]
['EBS', array([0.17324792], dtype=float32)]
['SAP', array([0.17274146], dtype=float32)]
['KDNY', array([0.17274036], dtype=float32)]
['PDCE', array([0.1727163], dtype=float32)]
['CNQ', array([0.17267665], dtype=float32)]
['TWLO', array([0.17265873], dtype=float32)]
['CMBM', array([0.1725895], dtype=float32)]
['SIMO', array([0.17237452], dtype=float32)]
['TEX', array([0.17232929], dtype=float32)]
['UNH', array([0.17213891], dtype=float32)]
['MRO', array([0.17208752], dtype=float32)]
['MGY', array([0.17200182], dtype=float32)]
['TSP', array([0.17170031], dtype=float32)]
['EPRT', array([0.17160769], dtype=float32)]
['KTB', array([0.17149287], dtype=float32)]
['AMCX', array([0.1714741], dtype=float32)]
['HAL', array([0.17139803], dtype=float32)]
['TPIC', array([0.17119117], dtype=float32)]
['SRPT', array([0.17103995], dtype=float32)]
['IAC', array([0.17052928], dtype=float32)]
['SONO', array([0.17009363], dtype=float32)]
['JBLU', array([0.17003724], dtype=float32)]
['CRM', array([0.16994283], dtype=float32)]
['NOW', array([0.1697657], dtype=float32)]
['IR', array([0.16967963], dtype=float32)]
['CCRN', array([0.16916166], dtype=float32)]
['MSI', array([0.16869122], dtype=float32)]
['FCEL', array([0.16846797], dtype=float32)]
['ON', array([0.16828795], dtype=float32)]
['FREE', array([0.1681656], dtype=float32)]
['MAT', array([0.1681653], dtype=float32)]
['EXAS', array([0.16798182], dtype=float32)]
['PKI', array([0.16748337], dtype=float32)]
